[0.000000] (-) TimerEvent: {}
[0.001165] (-) JobUnselected: {'identifier': 'ackermann_msgs'}
[0.001797] (-) JobUnselected: {'identifier': 'bno055'}
[0.002041] (-) JobUnselected: {'identifier': 'line_follower_pkg'}
[0.002209] (-) JobUnselected: {'identifier': 'lslidar_driver'}
[0.002339] (-) JobUnselected: {'identifier': 'lslidar_msgs'}
[0.002502] (-) JobUnselected: {'identifier': 'origincar_base'}
[0.002792] (-) JobUnselected: {'identifier': 'origincar_bringup'}
[0.003085] (-) JobUnselected: {'identifier': 'origincar_description'}
[0.003427] (-) JobUnselected: {'identifier': 'origincar_msg'}
[0.003607] (-) JobUnselected: {'identifier': 'qr_scanner'}
[0.003729] (-) JobUnselected: {'identifier': 'racing_bringup'}
[0.003850] (-) JobUnselected: {'identifier': 'racing_stage1'}
[0.003972] (-) JobUnselected: {'identifier': 'racing_stage2'}
[0.004093] (-) JobUnselected: {'identifier': 'racing_stage2_param_test'}
[0.004215] (-) JobUnselected: {'identifier': 'racing_stage3'}
[0.004336] (-) JobUnselected: {'identifier': 'racing_vision_ai'}
[0.004497] (-) JobUnselected: {'identifier': 'serial'}
[0.004624] (-) JobUnselected: {'identifier': 'simple_avoidance'}
[0.004745] (-) JobUnselected: {'identifier': 'utils'}
[0.004871] (-) EventReactorShutdown: {}
