# sim scenario log
# segments: 9 done=False

AVOID_ENTER seg=rect_return_origin phase=prepare side=-1 corner=False zone=post_apex lat_prog=-0.00 commit=0.38
TEMPLATE_PHASE prepare->bypass_out reason=commit seg=rect_return_origin corner=False zone=post_apex
TEMPLATE_PHASE bypass_out->bypass_pass reason=timeout seg=rect_return_origin corner=False zone=post_apex
TEMPLATE_PHASE bypass_pass->bypass_rejoin reason=timeout seg=rect_return_origin corner=False zone=post_apex
TEMPLATE_PHASE bypass_rejoin->recover_track reason=timeout seg=rect_return_origin corner=False zone=post_apex

# samples (every 10 ticks)
t,x,y,yaw_deg,prog,lat,phase,avoid,v,omega,forbidden,front,nearest,seg
0.05,1.500,0.000,-180.0,-0.000,0.000,prepare,1,0.050,0.000,0,0.28,0.38,rect_return_origin
0.55,1.475,0.000,-180.0,0.025,0.000,prepare,1,0.050,0.000,0,0.26,0.36,rect_return_origin
1.05,1.450,0.000,-180.0,0.050,0.000,prepare,1,0.050,0.000,0,0.23,0.33,rect_return_origin
1.55,1.425,0.000,-180.0,0.075,0.000,prepare,1,0.050,0.000,0,0.21,0.31,rect_return_origin
2.05,1.414,0.000,171.6,0.086,-0.000,bypass_out,1,0.000,-0.420,1,0.20,0.30,rect_return_origin
2.55,1.414,0.000,160.3,0.086,-0.000,bypass_out,1,0.000,-0.281,1,0.19,0.30,rect_return_origin
3.05,1.414,0.000,155.4,0.086,-0.000,bypass_out,1,0.000,-0.048,1,0.18,0.30,rect_return_origin
3.55,1.414,0.000,154.1,0.086,-0.000,bypass_out,1,0.000,-0.048,1,0.18,0.30,rect_return_origin
4.05,1.414,0.000,152.7,0.086,-0.000,bypass_out,1,0.000,-0.048,1,0.17,0.30,rect_return_origin
4.55,1.414,0.000,151.4,0.086,-0.000,bypass_out,1,0.000,-0.033,1,0.17,0.30,rect_return_origin
5.05,1.407,0.004,150.7,0.093,-0.004,bypass_out,1,0.080,-0.014,0,0.16,0.29,rect_return_origin
5.55,1.372,0.024,150.4,0.128,-0.024,bypass_out,1,0.080,-0.006,0,0.12,0.25,rect_return_origin
6.05,1.337,0.044,150.3,0.163,-0.044,bypass_out,1,0.080,-0.003,0,0.08,0.22,rect_return_origin
6.55,1.302,0.064,150.3,0.198,-0.064,bypass_out,1,0.080,-0.001,0,0.04,0.18,rect_return_origin
7.05,1.267,0.083,150.2,0.233,-0.083,bypass_out,1,0.080,-0.001,0,0.02,0.15,rect_return_origin
7.55,1.233,0.103,150.2,0.267,-0.103,bypass_out,1,0.080,-0.000,0,0.02,0.12,rect_return_origin
8.05,1.210,0.116,157.4,0.290,-0.116,bypass_pass,1,0.000,0.420,1,0.02,0.10,rect_return_origin
8.55,1.210,0.116,169.0,0.290,-0.116,bypass_pass,1,0.000,0.307,1,0.02,0.10,rect_return_origin
9.05,1.210,0.116,176.0,0.290,-0.116,bypass_pass,1,0.000,0.225,1,0.02,0.10,rect_return_origin
9.55,1.210,0.116,178.4,0.290,-0.116,bypass_pass,1,0.000,0.044,1,0.02,0.10,rect_return_origin
10.05,1.210,0.116,179.3,0.290,-0.116,bypass_pass,1,0.000,0.019,1,0.02,0.10,rect_return_origin
10.55,1.210,0.116,179.7,0.290,-0.116,bypass_pass,1,0.000,0.008,1,0.02,0.10,rect_return_origin
11.05,1.210,0.116,179.9,0.290,-0.116,bypass_pass,1,0.000,0.004,1,0.02,0.10,rect_return_origin
11.55,1.210,0.116,179.9,0.290,-0.116,bypass_pass,1,0.000,0.002,1,0.02,0.10,rect_return_origin
12.05,1.210,0.116,180.0,0.290,-0.116,bypass_pass,1,0.000,0.001,1,0.02,0.10,rect_return_origin
12.55,1.210,0.116,180.0,0.290,-0.116,bypass_pass,1,0.000,0.000,1,0.02,0.10,rect_return_origin
13.05,1.210,0.116,180.0,0.290,-0.116,bypass_pass,1,0.000,0.000,1,0.02,0.10,rect_return_origin
13.55,1.210,0.116,180.0,0.290,-0.116,bypass_pass,1,0.000,0.000,1,0.02,0.10,rect_return_origin
14.05,1.210,0.116,180.0,0.290,-0.116,bypass_pass,1,0.000,0.000,1,0.02,0.10,rect_return_origin
14.55,1.210,0.116,180.0,0.290,-0.116,bypass_pass,1,0.000,0.000,1,0.02,0.10,rect_return_origin
15.05,1.210,0.116,180.0,0.290,-0.116,bypass_pass,1,0.000,0.000,1,0.02,0.10,rect_return_origin
15.55,1.210,0.116,180.0,0.290,-0.116,bypass_pass,1,0.000,0.000,1,0.02,0.10,rect_return_origin
16.05,1.210,0.116,180.0,0.290,-0.116,bypass_pass,1,0.000,0.000,1,0.02,0.10,rect_return_origin
16.55,1.210,0.116,180.0,0.290,-0.116,bypass_pass,1,0.000,0.000,1,0.02,0.10,rect_return_origin
17.05,1.210,0.116,180.0,0.290,-0.116,bypass_pass,1,0.000,0.000,1,0.02,0.10,rect_return_origin
17.55,1.210,0.116,180.0,0.290,-0.116,bypass_pass,1,0.000,0.000,1,0.02,0.10,rect_return_origin
18.05,1.210,0.116,-172.9,0.290,-0.116,bypass_rejoin,1,0.000,0.359,1,0.02,0.10,rect_return_origin
18.55,1.210,0.116,-165.2,0.290,-0.116,bypass_rejoin,1,0.000,0.225,1,0.02,0.10,rect_return_origin
19.05,1.210,0.116,-162.0,0.290,-0.116,bypass_rejoin,1,0.000,0.056,1,0.02,0.10,rect_return_origin
19.55,1.210,0.116,-160.9,0.290,-0.116,bypass_rejoin,1,0.000,0.024,1,0.02,0.10,rect_return_origin
20.05,1.210,0.116,-160.4,0.290,-0.116,bypass_rejoin,1,0.000,0.011,1,0.02,0.10,rect_return_origin
